MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-09-15,Augsburg,St Pauli,3,1,3.3,0.99
2024-09-15,Mainz,Werder Bremen,1,2,1.65,1.65
2024-09-20,Augsburg,Mainz,2,3,2.97,0.99
2024-09-21,Union Berlin,Hoffenheim,2,1,0.66,0.99
2024-09-21,Bochum,Holstein Kiel,2,2,0.99,1.32
2024-09-21,Werder Bremen,Bayern Munich,0,5,0.0,2.31
2024-09-21,Ein Frankfurt,M'gladbach,2,0,1.32,2.31
2024-09-21,Heidenheim,Freiburg,0,3,0.66,1.65
2024-09-22,Leverkusen,Wolfsburg,4,3,2.31,1.32
2024-09-22,Stuttgart,Dortmund,5,1,2.97,0.99
2024-09-22,St Pauli,RB Leipzig,0,0,1.32,1.65
2024-09-27,Dortmund,Bochum,4,2,2.64,1.98
2024-09-28,Freiburg,St Pauli,0,3,0.66,1.32
2024-09-28,Mainz,Heidenheim,0,2,0.66,2.31
2024-09-28,M'gladbach,Union Berlin,1,0,0.99,0.99
2024-09-28,RB Leipzig,Augsburg,4,0,2.31,0.33
2024-09-28,Wolfsburg,Stuttgart,2,2,0.66,1.65
2024-09-28,Bayern Munich,Leverkusen,1,1,0.99,0.99
2024-09-29,Holstein Kiel,Ein Frankfurt,2,4,1.65,3.3
2024-09-29,Hoffenheim,Werder Bremen,3,4,1.65,3.3
2024-10-04,Augsburg,M'gladbach,2,1,1.65,1.65
2024-10-05,Bochum,Wolfsburg,1,3,1.65,1.65
2024-10-05,Leverkusen,Holstein Kiel,2,2,2.31,1.32
2024-10-05,Union Berlin,Dortmund,2,1,1.65,1.65
2024-10-05,Werder Bremen,Freiburg,0,1,0.99,0.99
2024-10-05,St Pauli,Mainz,0,3,1.32,1.32
2024-10-06,Heidenheim,RB Leipzig,0,1,1.32,0.66
2024-10-06,Ein Frankfurt,Bayern Munich,3,3,1.32,4.29
2024-10-06,Stuttgart,Hoffenheim,1,1,2.31,1.65
2024-10-18,Dortmund,St Pauli,2,1,2.31,0.99
2024-10-19,Hoffenheim,Bochum,3,1,2.31,1.32
2024-10-19,Leverkusen,Ein Frankfurt,2,1,2.97,0.66
2024-10-19,Freiburg,Augsburg,3,1,1.98,0.99
2024-10-19,M'gladbach,Heidenheim,3,2,3.3,1.98
2024-10-19,Bayern Munich,Stuttgart,4,0,3.3,0.33
2024-10-19,Mainz,RB Leipzig,0,2,0.66,1.65
2024-10-20,Holstein Kiel,Union Berlin,0,2,1.65,1.32
2024-10-20,Wolfsburg,Werder Bremen,2,4,1.98,2.31
2024-10-25,Mainz,M'gladbach,1,1,1.98,1.65
2024-10-26,Augsburg,Dortmund,2,1,1.32,1.32
2024-10-26,RB Leipzig,Freiburg,3,1,2.97,1.65
2024-10-26,St Pauli,Wolfsburg,0,0,1.65,1.32
2024-10-26,Stuttgart,Holstein Kiel,2,1,1.98,0.99
2024-10-26,Werder Bremen,Leverkusen,2,2,2.64,1.98
2024-10-27,Union Berlin,Ein Frankfurt,1,1,1.32,1.65
2024-10-27,Heidenheim,Hoffenheim,0,0,0.99,1.32
2024-10-27,Bochum,Bayern Munich,0,5,0.66,2.97
2024-11-01,Leverkusen,Stuttgart,0,0,1.65,0.33
2024-11-02,Wolfsburg,Augsburg,1,1,1.98,0.33
2024-11-02,Dortmund,RB Leipzig,2,1,2.31,0.99
2024-11-02,Bayern Munich,Union Berlin,3,0,2.31,0.33
2024-11-02,Ein Frankfurt,Bochum,7,2,2.97,2.64
2024-11-02,Hoffenheim,St Pauli,0,2,1.98,0.99
2024-11-02,Holstein Kiel,Heidenheim,1,0,1.98,1.32
2024-11-03,Freiburg,Mainz,0,0,0.66,0.66
2024-11-03,M'gladbach,Werder Bremen,4,1,2.64,1.65
2024-11-08,Union Berlin,Freiburg,0,0,1.98,1.32
2024-11-09,Bochum,Leverkusen,1,1,0.99,0.99
2024-11-09,Mainz,Dortmund,3,1,2.97,0.33
2024-11-09,St Pauli,Bayern Munich,0,1,0.0,1.98
2024-11-09,Werder Bremen,Holstein Kiel,2,1,1.65,1.65
2024-11-09,RB Leipzig,M'gladbach,0,0,1.32,1.32
2024-11-10,Augsburg,Hoffenheim,0,0,1.32,0.66
2024-11-10,Stuttgart,Ein Frankfurt,2,3,3.63,1.65
2024-11-10,Heidenheim,Wolfsburg,1,3,1.32,1.98
2024-11-22,Bayern Munich,Augsburg,3,0,4.62,0.33
2024-11-23,Leverkusen,Heidenheim,5,2,3.3,0.99
2024-11-23,Hoffenheim,RB Leipzig,4,3,2.31,1.98
2024-11-23,Dortmund,Freiburg,4,0,2.31,0.99
2024-11-23,Ein Frankfurt,Werder Bremen,1,0,1.65,0.33
2024-11-23,Wolfsburg,Union Berlin,1,0,1.65,1.32
2024-11-23,Stuttgart,Bochum,2,0,1.65,0.66
2024-11-24,Holstein Kiel,Mainz,0,3,0.66,2.31
2024-11-24,M'gladbach,St Pauli,2,0,1.32,0.99
2024-11-29,St Pauli,Holstein Kiel,3,1,1.32,0.99
2024-11-30,RB Leipzig,Wolfsburg,1,5,1.32,2.64
2024-11-30,Freiburg,M'gladbach,3,1,2.31,1.32
2024-11-30,Augsburg,Bochum,1,0,1.32,0.33
2024-11-30,Union Berlin,Leverkusen,1,2,0.66,0.99
2024-11-30,Dortmund,Bayern Munich,1,1,0.66,1.65
2024-11-30,Werder Bremen,Stuttgart,2,2,1.98,1.32
2024-12-01,Mainz,Hoffenheim,2,0,2.64,0.66
2024-12-01,Heidenheim,Ein Frankfurt,0,4,0.33,2.64
2024-12-06,Stuttgart,Union Berlin,3,2,1.65,0.99
